Time,CPU 1,CPU 2,CPU 3,CPU 4,CPU 5,CPU 6,CPU 7,CPU 8,Overall CPU Utilization,RAM Usage,GPU Utilization,GPU Memory Utilization
73,1.358924548,1.358924548,0,1.358924548,1.358924548,1.358924548,0,0,0.849327843,20.3611957,0,0
74,0,0,0,0,0,0,1.211137653,0,0.151392207,20.31488125,0,0
75,5.300935445,0.565982217,14.7708419,17.92747739,2.14429996,0.565982217,13.19252416,0,6.808505411,20.33411956,0,0
76,27.31656879,18.0378329,24.22365683,24.22365683,19.58428888,16.49137691,47.42049657,4.119729047,22.67720084,20.75703664,0,0
77,22.91263448,10.578656,13.66215062,24.45438179,29.07962372,10.578656,5.95341407,12.12040331,16.16749,20.65392337,0,0
78,15.63644225,4.494085561,64.98116471,31.55409465,18.81997273,2.90232032,18.81997273,20.41173797,22.20247387,20.97097886,0,0
79,5.927859362,1.22425233,23.17441848,5.927859362,29.44589452,4.359990351,40.4209776,9.063597383,14.94310617,21.48972104,0,0
80,2.447780297,0.923526864,0,5.496287163,13.11755433,5.496287163,5.496287163,3.97203373,4.618719589,21.42915599,0,0
81,2.690802853,0,0,2.690802853,4.286035593,9.071733813,23.42882847,28.21452669,8.797841284,21.63100556,0,0
82,16.04835973,0.501759676,11.38437971,8.275059701,33.14961978,0.501759676,2.056419681,42.47757981,14.29936722,22.07470816,0,0
83,34.48611155,14.20800323,17.3277122,23.56713015,18.88756669,20.44742117,29.80654809,7.968585279,20.83738479,22.97426708,0,0
84,60.45099183,55.70511085,57.28707118,79.43451575,52.5411902,52.5411902,65.19687281,54.12315052,59.66001167,23.43435787,0,0
85,87.55859281,78.22753741,90.66894461,82.89306511,75.11718561,84.44824101,81.33788921,76.67236151,82.11547716,23.07141546,0,0
86,22.63721682,19.54270549,30.37349514,45.84605177,10.25917151,13.35368284,19.54270549,21.08996116,22.83062378,23.28837066,0,0
87,96.87528247,98.43764124,98.43764124,96.87528247,98.43764124,96.87528247,100,96.87528247,97.8517567,24.12129785,0,0
88,79.63063893,78.063765,84.33126071,81.19751286,87.46500857,89.0318825,84.33126071,79.63063893,82.96024603,23.91865432,0,0
89,100,100,100,100,100,100,100,100,100,23.87960768,0,0
90,100,100,100,100,100,100,100,100,100,23.88587794,0,0
91,100,100,100,100,100,100,100,100,100,23.88587794,0,0
92,100,100,100,100,100,100,100,100,100,23.88587794,0,0
93,100,100,100,100,100,100,100,100,100,23.88587794,0,0
94,100,100,100,100,100,100,100,100,100,23.88587794,0,0
95,100,100,100,100,100,100,100,100,100,23.88587794,0,0
96,100,100,100,100,100,100,100,100,100,23.88587794,0,0
97,100,100,100,100,100,100,100,100,100,23.88587794,0,0
98,100,100,100,100,100,100,100,100,100,23.88587794,0,0
99,100,100,100,100,100,100,100,100,100,23.93565325,0,0
100,100,100,100,100,100,100,100,100,100,23.88583722,0,0
101,100,100,100,100,100,100,100,100,100,23.88583722,0,0
102,100,100,100,100,100,100,100,100,100,23.87753116,0,0
103,100,100,100,100,100,100,100,100,100,23.87753116,0,0
104,100,100,100,100,100,100,100,100,100,23.87753116,0,0
105,100,100,100,100,100,100,100,100,100,23.87753116,0,0
106,100,100,100,100,100,100,100,100,100,23.87683899,0,0
107,100,100,100,100,100,100,100,100,100,23.87651326,0,0
108,100,100,100,100,100,100,100,100,100,23.87651326,0,0
109,100,100,100,100,100,100,100,100,100,23.8757193,0,0
110,100,100,100,100,100,100,100,100,100,23.92508745,0,0
111,100,100,100,100,100,100,100,100,100,23.87531214,0,0
112,100,100,100,100,100,100,100,100,100,23.87531214,0,0
113,100,100,100,100,100,100,100,100,100,23.87531214,0,0
114,100,100,100,100,100,100,100,100,100,23.87531214,0,0
115,100,100,100,100,100,100,100,100,100,23.88109381,0,0
116,100,100,100,100,100,100,100,100,100,23.88105309,0,0
117,100,100,100,100,100,100,100,100,100,23.88105309,0,0
118,100,100,100,100,100,100,100,100,100,23.88105309,0,0
119,100,100,100,100,100,100,100,100,100,23.88105309,0,0
120,100,100,100,100,100,100,100,100,100,23.88105309,0,0
121,100,100,100,100,100,100,100,100,100,23.88105309,0,0
122,100,100,100,100,100,100,100,100,100,23.93050268,0,0
123,100,100,100,100,100,100,100,100,100,23.86480741,0,0
124,100,100,100,100,100,100,100,100,100,23.86429846,0,0
125,100,100,100,100,100,100,100,100,100,23.86429846,0,0
126,100,100,100,100,100,100,100,100,100,23.8632602,0,0
127,100,100,100,100,100,100,100,100,100,23.8632602,0,0
128,100,100,100,100,100,100,100,100,100,23.8632602,0,0
129,100,100,100,100,100,100,100,100,100,23.8632602,0,0
130,100,100,100,100,100,100,100,100,100,23.82704332,0,0
131,100,100,100,100,100,100,100,100,100,23.82675831,0,0
132,100,100,100,100,100,100,100,100,100,23.82675831,0,0
133,100,100,100,100,100,100,100,100,100,23.87653362,0,0
134,100,100,100,100,100,100,100,100,100,23.82675831,0,0
135,100,100,100,100,100,100,100,100,100,23.82675831,0,0
136,100,100,100,100,100,100,100,100,100,23.82657509,0,0
137,100,100,100,100,100,100,100,100,100,23.82657509,0,0
138,100,100,100,100,100,100,100,100,100,23.82657509,0,0
139,100,100,100,100,100,100,100,100,100,23.82657509,0,0
140,100,100,100,100,100,100,100,100,100,23.82484466,0,0
141,100,100,100,100,100,100,100,100,100,23.82484466,0,0
142,100,100,100,100,100,100,100,100,100,23.82907912,0,0
143,100,100,100,100,100,100,100,100,100,23.82907912,0,0
144,100,100,100,100,100,100,100,100,100,23.87885443,0,0
145,100,100,100,100,100,100,100,100,100,23.82907912,0,0
146,100,100,100,100,100,100,100,100,100,23.83477936,0,0
147,100,100,100,100,100,100,100,100,100,23.83477936,0,0
148,100,100,100,100,100,100,100,100,100,23.83477936,0,0
149,100,100,100,100,100,100,100,100,100,23.83477936,0,0
150,100,100,100,100,100,100,100,100,100,23.83477936,0,0
151,100,100,100,100,100,100,100,100,100,23.83477936,0,0
152,100,100,100,100,100,100,100,100,100,23.83477936,0,0
153,100,100,100,100,100,100,100,100,100,23.83477936,0,0
154,100,100,100,100,100,100,100,100,100,23.84451049,0,0
155,100,100,100,100,100,100,100,100,100,23.89426544,0,0
156,100,100,100,100,100,100,100,100,100,23.90607308,0,0
157,100,100,100,100,100,100,100,100,100,23.85629777,0,0
158,100,100,100,100,100,100,100,100,100,23.85629777,0,0
159,100,100,100,100,100,100,100,100,100,23.85629777,0,0
160,100,100,100,100,100,100,100,100,100,23.68547379,0,0
